EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,WS2030,WS2040,WS2050,WS2060,WS2070,WS2080
614,728,"COUNTY-OTHER, SAN AUGUSTINE",MUNICIPAL,I,SAN AUGUSTINE,N,SPARTA AQUIFER | SAN AUGUSTINE,83,83,83,83,83,83
614,866,"COUNTY-OTHER, SAN AUGUSTINE",MUNICIPAL,I,SAN AUGUSTINE,N,YEGUA-JACKSON AQUIFER | SAN AUGUSTINE,230,230,230,230,230,230
615,337,"COUNTY-OTHER, SAN JACINTO",MUNICIPAL,H,SAN JACINTO,N,GULF COAST AQUIFER SYSTEM | SAN JACINTO,1228,1212,1178,1147,1111,1069
616,163,"COUNTY-OTHER, SAN PATRICIO",MUNICIPAL,N,SAN PATRICIO,N,CORPUS CHRISTI-CHOKE CANYON LAKE/RESERVOIR SYSTEM,579,639,588,402,204,76
616,338,"COUNTY-OTHER, SAN PATRICIO",MUNICIPAL,N,SAN PATRICIO,N,GULF COAST AQUIFER SYSTEM | SAN PATRICIO,506,506,506,506,506,341
616,742,"COUNTY-OTHER, SAN PATRICIO",MUNICIPAL,N,SAN PATRICIO,N,TEXANA LAKE/RESERVOIR,579,640,589,402,205,76
617,271,"COUNTY-OTHER, SAN SABA",MUNICIPAL,K,SAN SABA,N,ELLENBURGER-SAN SABA AQUIFER | SAN SABA,168,168,168,168,168,168
617,367,"COUNTY-OTHER, SAN SABA",MUNICIPAL,K,SAN SABA,N,HICKORY AQUIFER | SAN SABA,77,77,77,77,77,77
617,368,"COUNTY-OTHER, SAN SABA",MUNICIPAL,K,SAN SABA,N,HIGHLAND LAKES LAKE/RESERVOIR SYSTEM,20,20,20,20,20,20
617,423,"COUNTY-OTHER, SAN SABA",MUNICIPAL,K,SAN SABA,N,MARBLE FALLS AQUIFER | SAN SABA,20,20,20,20,20,20
618,250,"COUNTY-OTHER, SCHLEICHER",MUNICIPAL,F,SCHLEICHER,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | SCHLEICHER",81,65,50,39,29,19
619,145,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,EDWARDS-TRINITY-PLATEAU AND PECOS VALLEY AQUIFERS | WARD,63,59,51,44,40,37
619,158,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,COLORADO RIVER MWD LAKE/RESERVOIR SYSTEM,22,20,18,17,16,15
619,169,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,DIRECT REUSE,3,3,3,3,2,2
619,197,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,DOCKUM AQUIFER | SCURRY,496,536,565,577,587,595
619,492,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | MARTIN,2,1,1,1,1,1
619,578,"COUNTY-OTHER, SCURRY",MUNICIPAL,F,SCURRY,N,OTHER AQUIFER | SCURRY,37,37,37,37,37,37
620,579,"COUNTY-OTHER, SHACKELFORD",MUNICIPAL,G,SHACKELFORD,N,OTHER AQUIFER | SHACKELFORD,25,25,25,25,25,25
621,121,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,CARRIZO-WILCOX AQUIFER | SHELBY,512,512,494,474,447,413
621,147,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,CENTER LAKE/RESERVOIR,116,117,114,112,108,103
621,607,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,PINKSTON LAKE/RESERVOIR,840,839,820,797,767,730
621,747,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,TIMPSON LAKE/RESERVOIR,350,350,350,350,350,350
621,748,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,TOLEDO BEND LAKE/RESERVOIR,100,95,90,82,75,68
622,502,"COUNTY-OTHER, SHERMAN",MUNICIPAL,A,SHERMAN,N,OGALLALA AQUIFER | SHERMAN,116,113,109,105,101,96
623,122,"COUNTY-OTHER, SMITH",MUNICIPAL,D,SMITH,Y,CARRIZO-WILCOX AQUIFER | SMITH,308,284,269,247,225,203
623,122,"COUNTY-OTHER, SMITH",MUNICIPAL,I,SMITH,Y,CARRIZO-WILCOX AQUIFER | SMITH,607,607,607,607,607,607
623,288,"COUNTY-OTHER, SMITH",MUNICIPAL,D,SMITH,Y,GLADEWATER LAKE/RESERVOIR,23,23,23,23,23,23
623,600,"COUNTY-OTHER, SMITH",MUNICIPAL,I,SMITH,Y,PALESTINE LAKE/RESERVOIR,121,121,122,122,123,123
623,639,"COUNTY-OTHER, SMITH",MUNICIPAL,I,SMITH,Y,QUEEN CITY AQUIFER | SMITH,19,19,19,19,19,19
623,815,"COUNTY-OTHER, SMITH",MUNICIPAL,I,SMITH,Y,TYLER LAKE/RESERVOIR,118,118,117,117,116,116
624,655,"COUNTY-OTHER, SOMERVELL",MUNICIPAL,G,SOMERVELL,N,BRAZOS RUN-OF-RIVER,0,0,0,0,0,0
624,802,"COUNTY-OTHER, SOMERVELL",MUNICIPAL,G,SOMERVELL,N,TRINITY AQUIFER | SOMERVELL,412,412,412,412,412,412
625,339,"COUNTY-OTHER, STARR",MUNICIPAL,M,STARR,N,GULF COAST AQUIFER SYSTEM | STARR,288,288,288,288,288,288
625,867,"COUNTY-OTHER, STARR",MUNICIPAL,M,STARR,N,YEGUA-JACKSON AQUIFER | STARR,33,38,43,48,48,48
626,582,"COUNTY-OTHER, STEPHENS",MUNICIPAL,G,STEPHENS,N,OTHER AQUIFER | STEPHENS,55,55,55,55,55,55
627,251,"COUNTY-OTHER, STERLING",MUNICIPAL,F,STERLING,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | STERLING",32,35,44,53,61,69
628,27,"COUNTY-OTHER, STONEWALL",MUNICIPAL,G,STONEWALL,N,BLAINE AQUIFER | STONEWALL,70,70,70,70,70,70
629,252,"COUNTY-OTHER, SUTTON",MUNICIPAL,F,SUTTON,N,"EDWARDS-TRINITY-PLATEAU, PECOS VALLEY, AND TRINITY AQUIFERS | SUTTON",121,105,91,81,70,59
630,503,"COUNTY-OTHER, SWISHER",MUNICIPAL,O,SWISHER,N,OGALLALA AND EDWARDS-TRINITY-HIGH PLAINS AQUIFERS | SWISHER,307,307,307,307,307,307
631,169,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,DIRECT REUSE,150,150,150,150,150,150
631,279,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,FORK LAKE/RESERVOIR,126,124,121,119,117,115
631,390,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,TRINITY INDIRECT REUSE,129,142,157,156,155,157
631,648,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,RAY HUBBARD LAKE/RESERVOIR,131,123,114,107,101,95
631,650,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,RAY ROBERTS-LEWISVILLE-GRAPEVINE LAKE/RESERVOIR SYSTEM,316,285,253,243,233,226
631,738,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,TAWAKONI LAKE/RESERVOIR,527,498,468,444,421,401
631,803,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,TRINITY AQUIFER | TARRANT,768,768,768,768,768,768
