EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,P2030,P2040,P2050,P2060,P2070,P2080
621,"COUNTY-OTHER, SHELBY",MUNICIPAL,I,SHELBY,N,9059,9115,8906,8668,8346,7943
622,"COUNTY-OTHER, SHERMAN",MUNICIPAL,A,SHERMAN,N,710,695,672,644,620,592
623,"COUNTY-OTHER, SMITH",MUNICIPAL,D,SMITH,Y,2725,2529,2390,2196,2003,1808
623,"COUNTY-OTHER, SMITH",MUNICIPAL,I,SMITH,Y,10055,8963,7989,7121,6348,5658
624,"COUNTY-OTHER, SOMERVELL",MUNICIPAL,G,SOMERVELL,N,1407,1455,1474,1463,1450,1436
625,"COUNTY-OTHER, STARR",MUNICIPAL,M,STARR,N,4359,4437,4594,5045,5495,5945
626,"COUNTY-OTHER, STEPHENS",MUNICIPAL,G,STEPHENS,N,315,258,215,180,153,132
627,"COUNTY-OTHER, STERLING",MUNICIPAL,F,STERLING,N,279,308,381,462,537,602
628,"COUNTY-OTHER, STONEWALL",MUNICIPAL,G,STONEWALL,N,462,433,391,371,349,323
629,"COUNTY-OTHER, SUTTON",MUNICIPAL,F,SUTTON,N,898,787,679,603,525,443
630,"COUNTY-OTHER, SWISHER",MUNICIPAL,O,SWISHER,N,2420,2375,2326,2282,2236,2191
631,"COUNTY-OTHER, TARRANT",MUNICIPAL,C,TARRANT,N,30000,44000,58000,72000,86000,100000
632,"COUNTY-OTHER, TAYLOR",MUNICIPAL,G,TAYLOR,N,1516,836,461,247,129,63
633,"COUNTY-OTHER, TERRELL",MUNICIPAL,E,TERRELL,N,152,123,106,89,72,55
634,"COUNTY-OTHER, TERRY",MUNICIPAL,O,TERRY,N,3047,3048,2903,2677,2415,2109
635,"COUNTY-OTHER, THROCKMORTON",MUNICIPAL,G,THROCKMORTON,N,154,146,138,134,125,119
636,"COUNTY-OTHER, TITUS",MUNICIPAL,D,TITUS,N,1244,1134,919,751,569,361
637,"COUNTY-OTHER, TOM GREEN",MUNICIPAL,F,TOM GREEN,N,13889,16881,19356,21727,24220,26833
638,"COUNTY-OTHER, TRAVIS",MUNICIPAL,K,TRAVIS,N,77528,103738,95358,74091,70555,69219
639,"COUNTY-OTHER, TRINITY",MUNICIPAL,H,TRINITY,Y,1713,1602,1497,1427,1353,1277
639,"COUNTY-OTHER, TRINITY",MUNICIPAL,I,TRINITY,Y,1783,1738,1708,1703,1699,1698
640,"COUNTY-OTHER, TYLER",MUNICIPAL,I,TYLER,N,6478,5523,4575,3763,2910,1989
