EntityId,MapSourceId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,SourceName,SourceType,WmsId,WmsSponsorRegion,WmsName,WmsType,SS2030,SS2040,SS2050,SS2060,SS2070,SS2080
518,390,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,TRINITY INDIRECT REUSE,REUSE,5982,C,TRWD - REUSE FROM MARY'S CREEK WRF,INDIRECT REUSE,4,10,10,14,11,14
518,390,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,TRINITY INDIRECT REUSE,REUSE,5994,C,TRWD - ADDITIONAL RICHLAND CHAMBERS REUSE,INDIRECT REUSE,27,40,40,43,32,31
518,425,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,MARVIN NICHOLS LAKE/RESERVOIR,SURFACE WATER,2429,C,"MARVIN NICHOLS (328) STRATEGY FOR NTMWD, TRWD, AND UTRWD",NEW MAJOR RESERVOIR,0,0,0,0,73,80
518,609,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,QUEEN CITY AQUIFER | ANDERSON,GROUNDWATER,4745,C,TRWD - CARRIZO-WILCOX GROUNDWATER,GROUNDWATER WELLS AND OTHER,0,0,7,7,5,6
518,740,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,TEHUACANA LAKE/RESERVOIR,SURFACE WATER,2182,C,TRWD - TEHUACANA,NEW MAJOR RESERVOIR,0,0,14,15,11,12
518,748,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,TOLEDO BEND LAKE/RESERVOIR,SURFACE WATER,7192,C,"TOLEDO BEND RESERVOIR FOR TRWD, NTMWD AND UTRWD",OTHER SURFACE WATER,0,0,0,0,49,54
518,854,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,WRIGHT PATMAN LAKE/RESERVOIR,SURFACE WATER,4767,C,WRIGHT PATMAN REALLOCATION FOR NTMWD AND TRWD,OTHER SURFACE WATER,0,0,0,0,0,34
518,1123,"COUNTY-OTHER, HENDERSON",MUNICIPAL,C,HENDERSON,Y,TRINITY AQUIFER ASR | TARRANT,GROUNDWATER,4936,C,TRWD - AQUIFER STORAGE AND RECOVERY PILOT,AQUIFER STORAGE AND RECOVERY,1,1,3,3,2,3
519,,"COUNTY-OTHER, HIDALGO",MUNICIPAL,M,HIDALGO,N,DEMAND REDUCTION,DEMAND REDUCTION,6189,M,"MUNICIPAL WATER CONSERVATION - WATER USE REDUCTION - COUNTY-OTHER, HIDALGO",MUNICIPAL CONSERVATION,128,158,71,109,153,176
519,,"COUNTY-OTHER, HIDALGO",MUNICIPAL,M,HIDALGO,N,DEMAND REDUCTION,DEMAND REDUCTION,7179,M,"MUNICIPAL WATER CONSERVATION - WATER LOSS MITIGATION - COUNTY-OTHER, HIDALGO",MUNICIPAL CONSERVATION,32,20,6,6,7,8
519,6,"COUNTY-OTHER, HIDALGO",MUNICIPAL,M,HIDALGO,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,DEMAND REDUCTION,3217,M,DONNA ID CONSERVATION,MUNICIPAL CONSERVATION,85,170,256,341,426,511
519,6,"COUNTY-OTHER, HIDALGO",MUNICIPAL,M,HIDALGO,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,SURFACE WATER,3537,M,CONVERSION OF SURFACE WATER RIGHTS - WWP REDUCTION,OTHER SURFACE WATER,306,306,306,306,306,306
519,6,"COUNTY-OTHER, HIDALGO",MUNICIPAL,M,HIDALGO,N,AMISTAD-FALCON LAKE/RESERVOIR SYSTEM,SURFACE WATER,5100,M,CONVERSION OF SURFACE WATER RIGHTS- WUG REDUCTION,OTHER SURFACE WATER,499,499,499,499,499,499
520,53,"COUNTY-OTHER, HILL",MUNICIPAL,G,HILL,N,BRAZOS RIVER AUTHORITY AQUILLA LAKE/RESERVOIR SYSTEM,SURFACE WATER,5287,G,PURCHASE ADDITIONAL SUPPLY FROM BRANDON-IRENE WSC,OTHER SURFACE WATER,57,63,59,66,63,70
520,652,"COUNTY-OTHER, HILL",MUNICIPAL,G,HILL,N,CORSICANA RICHLAND CHAMBERS-HALBERT LAKE/RESERVOIR SYSTEM,SURFACE WATER,7073,C,CORSICANA - HALBERT/RICHLAND CHAMBERS WTP,OTHER SURFACE WATER,0,6,20,33,47,61
520,780,"COUNTY-OTHER, HILL",MUNICIPAL,G,HILL,N,TRINITY AQUIFER | HILL,GROUNDWATER,2609,G,TRINITY AQUIFER DEVELOPMENT,GROUNDWATER WELLS AND OTHER,87,88,83,72,77,83
520,841,"COUNTY-OTHER, HILL",MUNICIPAL,G,HILL,N,WOODBINE AQUIFER | HILL,GROUNDWATER,2847,G,WOODBINE AQUIFER DEVELOPMENT,GROUNDWATER WELLS AND OTHER,25,24,25,24,25,25
522,781,"COUNTY-OTHER, HOOD",MUNICIPAL,G,HOOD,N,TRINITY AQUIFER | HOOD,GROUNDWATER,2609,G,TRINITY AQUIFER DEVELOPMENT,GROUNDWATER WELLS AND OTHER,1950,1950,1574,1252,876,740
524,,"COUNTY-OTHER, HOUSTON",MUNICIPAL,I,HOUSTON,N,DEMAND REDUCTION,DEMAND REDUCTION,4870,I,"COUNTY-OTHER, HOUSTON - MUNICIPAL CONSERVATION",MUNICIPAL CONSERVATION,6,8,5,4,2,0
524,,"COUNTY-OTHER, HOUSTON",MUNICIPAL,I,HOUSTON,N,DEMAND REDUCTION,DEMAND REDUCTION,6686,I,"MUNICIPAL CONSERVATION, WATER LOSS MITIGATION - COUNTY-OTHER, HOUSTON",MUNICIPAL CONSERVATION,2,2,1,1,0,0
526,35,"COUNTY-OTHER, HUDSPETH",MUNICIPAL,E,HUDSPETH,N,BONE SPRING-VICTORIO PEAK AQUIFER | HUDSPETH,GROUNDWATER,2653,E,E-53 DELL CITY (HUDSPETH COUNTY-OTHER) - BRACKISH GROUNDWATER DESALINATION FACILITY,GROUNDWATER DESALINATION,0,111,111,111,111,111
526,549,"COUNTY-OTHER, HUDSPETH",MUNICIPAL,E,HUDSPETH,N,OTHER AQUIFER | HUDSPETH,GROUNDWATER,5067,E,E-55 HUDSPETH CO. WCID 1 (HUDSPETH COUNTY-OTHER) - GROUNDWATER WELL WEST OF VAN HORN,GROUNDWATER WELLS AND OTHER,39,39,39,39,39,39
530,,"COUNTY-OTHER, JACK",MUNICIPAL,C,JACK,N,DEMAND REDUCTION,DEMAND REDUCTION,1868,C,CONSERVATION - JACK COUNTY,MUNICIPAL CONSERVATION,2,3,4,5,6,7
530,,"COUNTY-OTHER, JACK",MUNICIPAL,C,JACK,N,DEMAND REDUCTION,DEMAND REDUCTION,2132,C,"CONSERVATION, WATER LOSS CONTROL - JACK COUNTY",MUNICIPAL CONSERVATION,2,2,2,2,2,2
532,,"COUNTY-OTHER, JASPER",MUNICIPAL,I,JASPER,N,DEMAND REDUCTION,DEMAND REDUCTION,6687,I,"MUNICIPAL CONSERVATION, WATER LOSS MITIGATION - COUNTY-OTHER, JASPER",MUNICIPAL CONSERVATION,6,5,5,4,4,3
533,825,"COUNTY-OTHER, JEFF DAVIS",MUNICIPAL,E,JEFF DAVIS,N,WEST TEXAS BOLSONS AQUIFER | JEFF DAVIS,GROUNDWATER,2696,E,E-62 TOWN OF VALENTINE (JEFF DAVIS COUNTY-OTHER) - ADDITIONAL GROUNDWATER WELL,GROUNDWATER WELLS AND OTHER,129,129,129,129,129,129
534,,"COUNTY-OTHER, JEFFERSON",MUNICIPAL,I,JEFFERSON,N,DEMAND REDUCTION,DEMAND REDUCTION,6688,I,"MUNICIPAL CONSERVATION, WATER LOSS MITIGATION - COUNTY-OTHER, JEFFERSON",MUNICIPAL CONSERVATION,10,9,6,5,5,4
