EntityId,EntityName,WugType,WugRegion,WugCounty,EntityIsSplit,N2030,N2040,N2050,N2060,N2070,N2080
95,MARSHALL,MUNICIPAL,D,HARRISON,N,0,0,0,0,0,0
96,MCALLEN,MUNICIPAL,M,HIDALGO,N,1361,5494,11326,12558,13809,15080
98,MIDLOTHIAN,MUNICIPAL,C,ELLIS,N,435,1056,1837,2839,3939,4927
100,MOUNT PLEASANT,MUNICIPAL,D,TITUS,N,0,0,0,0,0,0
101,MUSTANG SUD,MUNICIPAL,C,COLLIN,Y,47,236,461,628,788,934
101,MUSTANG SUD,MUNICIPAL,C,DENTON,Y,1408,6873,14066,19654,24912,29575
101,MUSTANG SUD,MUNICIPAL,C,GRAYSON,Y,32,157,310,422,525,622
102,NACOGDOCHES,MUNICIPAL,I,NACOGDOCHES,N,0,0,0,0,0,0
103,NORTH ALAMO WSC,MUNICIPAL,M,CAMERON,Y,126,143,150,147,145,143
103,NORTH ALAMO WSC,MUNICIPAL,M,HIDALGO,Y,12797,16056,18254,18625,18993,19362
103,NORTH ALAMO WSC,MUNICIPAL,M,WILLACY,Y,0,25,74,108,145,183
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,49902,79782,83083,84691,88583,91163
106,NORTH HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,MONTGOMERY,Y,0,2,3,3,4,5
107,NORTH RICHLAND HILLS,MUNICIPAL,C,TARRANT,N,1913,3565,4441,5452,6288,6855
110,NUECES COUNTY WCID 3,MUNICIPAL,N,NUECES,N,3383,3439,3443,3419,3395,3370
111,ODESSA,MUNICIPAL,F,ECTOR,Y,0,1834,5394,8489,10864,13303
111,ODESSA,MUNICIPAL,F,MIDLAND,Y,0,121,435,773,1100,1471
115,PARIS,MUNICIPAL,D,LAMAR,N,0,0,0,0,0,0
117,PASADENA,MUNICIPAL,H,HARRIS,N,5542,5643,5726,5764,5770,5742
118,PORT ARTHUR,MUNICIPAL,I,JEFFERSON,N,0,0,0,0,0,0
121,ROCKETT SUD,MUNICIPAL,C,DALLAS,Y,6,15,23,30,37,42
121,ROCKETT SUD,MUNICIPAL,C,ELLIS,Y,285,801,1318,1955,2812,3604
122,ROCKWALL,MUNICIPAL,C,ROCKWALL,N,877,2716,5473,8945,10290,10929
123,ROUND ROCK,MUNICIPAL,G,WILLIAMSON,Y,0,2198,7847,9367,10797,11791
123,ROUND ROCK,MUNICIPAL,K,TRAVIS,Y,0,28,45,65,97,173
125,SAN ANGELO,MUNICIPAL,F,TOM GREEN,N,3471,2792,4073,5340,6718,8219
129,SEGUIN,MUNICIPAL,L,GUADALUPE,N,0,0,0,0,0,234
130,SEAGOVILLE,MUNICIPAL,C,DALLAS,N,176,295,421,516,616,702
131,SHARYLAND WSC,MUNICIPAL,M,HIDALGO,N,0,0,794,1035,1276,1516
134,SPRINGS HILL WSC,MUNICIPAL,L,GUADALUPE,Y,0,1927,3035,4202,5526,7030
134,SPRINGS HILL WSC,MUNICIPAL,L,WILSON,Y,26,38,50,60,72,85
136,SULPHUR SPRINGS,MUNICIPAL,D,HOPKINS,N,0,0,0,0,0,0
137,SWEETWATER,MUNICIPAL,G,NOLAN,N,145,119,91,62,32,1
139,TERRELL,MUNICIPAL,C,KAUFMAN,N,358,1035,1920,2732,3584,4270
140,TEXARKANA,MUNICIPAL,D,BOWIE,N,6769,6702,6649,6554,6459,6362
144,TYLER,MUNICIPAL,D,SMITH,Y,0,0,0,0,0,0
144,TYLER,MUNICIPAL,I,SMITH,Y,0,0,0,0,0,0
151,VALLEY MUD 2,MUNICIPAL,M,CAMERON,N,0,0,0,0,0,0
152,WACO,MUNICIPAL,G,MCLENNAN,N,5925,10128,13987,18040,22634,26900
153,WALNUT CREEK SUD,MUNICIPAL,C,PARKER,Y,634,909,2275,4704,7570,10417
153,WALNUT CREEK SUD,MUNICIPAL,C,WISE,Y,112,158,393,816,1336,1838
154,WAXAHACHIE,MUNICIPAL,C,ELLIS,N,1557,1950,2573,3997,6659,9577
155,WEATHERFORD,MUNICIPAL,C,PARKER,N,375,1930,3719,5595,7663,9940
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,HENDERSON,Y,142,232,313,380,430,469
156,WEST CEDAR CREEK MUD,MUNICIPAL,C,KAUFMAN,Y,7,14,21,31,42,54
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,FORT BEND,Y,1370,1384,1422,1462,1492,1521
158,WEST HARRIS COUNTY REGIONAL WATER AUTHORITY,MUNICIPAL,H,HARRIS,Y,16907,35634,36364,36747,38653,40361
160,WICHITA FALLS,MUNICIPAL,B,WICHITA,N,0,0,0,0,64,306
